ID,Taxon,Family,WIn,FMo_Average
351,Melitaea_parthenoides,Nymphalidae,-0.019,3
352,Melitaea_asteria,Nymphalidae,-0.042,2
353,Libythea_celtis,Nymphalidae,0.006,6.5
354,Danaus_plexippus,Nymphalidae,0.171,11
355,Danaus_chrysippus,Nymphalidae,0.113,10.5
356,Charaxes_jasius,Nymphalidae,0.148,6.5
357,Coenonympha_phryne,Nymphalidae,-0.022741644,2.5
358,Coenonympha_oedippus,Nymphalidae,0.000,3
359,Coenonympha_dorus,Nymphalidae,-0.027,3
360,Coenonympha_fettigii,Nymphalidae,-0.037,3
361,Coenonympha_thyrsis,Nymphalidae,-0.039,5
362,Coenonympha_pamphilus,Nymphalidae,-0.041,7
363,Coenonympha_tullia,Nymphalidae,-0.017,2
364,Coenonympha_amaryllis,Nymphalidae,-0.032461424,3.5
365,Coenonympha_rhodopensis,Nymphalidae,-0.026,2.5
366,Coenonympha_glycerion,Nymphalidae,-0.024,3
367,Coenonympha_corinna,Nymphalidae,-0.039,4.5
368,Coenonympha_corinna_elbana,Nymphalidae,-0.052,5
369,Coenonympha_leander,Nymphalidae,-0.023,3.5
370,Coenonympha_hero,Nymphalidae,-0.029,3.5
371,Coenonympha_gardetta,Nymphalidae,-0.030,4
372,Coenonympha_gardetta_darwiniana,Nymphalidae,-0.026,3
373,Coenonympha_orientalis,Nymphalidae,-0.031,3
374,Coenonympha_arcania,Nymphalidae,-0.016,3.5
375,Coenonympha_arcanioides,Nymphalidae,-0.034,6
376,Coenonympha_vaucheri,Nymphalidae,-0.027,3.5
377,Kirinia_roxelana,Nymphalidae,0.068,6.5
378,Kirinia_climene,Nymphalidae,0.021,2.5
379,Lopinga_achine,Nymphalidae,0.026,2.5
380,Pararge_xiphia,Nymphalidae,0.039,12
381,Pararge_xiphioides,Nymphalidae,0.006,12
382,Pararge_aegeria,Nymphalidae,0.008,7
383,Lasiommata_maera,Nymphalidae,0.027,6
384,Lasiommata_deidamia,Nymphalidae,0.027127771,3
385,Lasiommata_meadewaldoi,Nymphalidae,0.037,4
386,Lasiommata_petropolitana,Nymphalidae,0.001,3.5
387,Lasiommata_paramegaera,Nymphalidae,-0.004,6
388,Lasiommata_megera,Nymphalidae,0.013,6.5
389,Melanargia_russiae,Nymphalidae,0.051,3
390,Melanargia_lucasi,Nymphalidae,0.033,3.5
391,Melanargia_larissa,Nymphalidae,0.052,4
392,Melanargia_lachesis,Nymphalidae,0.041,2.5
393,Melanargia_galathea,Nymphalidae,0.031,3.5
394,Melanargia_ines,Nymphalidae,0.030,4
395,Melanargia_arge,Nymphalidae,0.034,2
396,Melanargia_pherusa,Nymphalidae,0.034,2.5
397,Melanargia_occitanica,Nymphalidae,0.039,2.5
398,Hipparchia_fatua,Nymphalidae,0.064,6.5
399,Hipparchia_statilinus,Nymphalidae,0.030,5
400,Hipparchia_tilosi,Nymphalidae,0.065,3
401,Hipparchia_ellena,Nymphalidae,0.068,3
402,Hipparchia_bacchus,Nymphalidae,0.074,2
403,Hipparchia_wyssii,Nymphalidae,0.059,3
404,Hipparchia_tamadabae,Nymphalidae,0.055,6
405,Hipparchia_gomera,Nymphalidae,0.068,5
406,Hipparchia_fidia,Nymphalidae,0.066,3.5
407,Hipparchia_powelli,Nymphalidae,0.017,3
408,Hipparchia_hansii,Nymphalidae,0.024,4
409,Hipparchia_neomiris,Nymphalidae,0.025,3
410,Hipparchia_autonoe,Nymphalidae,0.060,2
411,Hipparchia_hermione,Nymphalidae,0.074,2
412,Hipparchia_caroli,Nymphalidae,0.055,5
413,Hipparchia_genava,Nymphalidae,0.074,3
414,Hipparchia_syriaca,Nymphalidae,0.080,5.5
415,Hipparchia_fagi,Nymphalidae,0.095,4.5
416,Hipparchia_mersina,Nymphalidae,0.040,4.5
417,Hipparchia_miguelensis,Nymphalidae,0.008,4
418,Hipparchia_azorina,Nymphalidae,0.005,5
419,Hipparchia_azorina_occidentalis,Nymphalidae,0.002,4
420,Hipparchia_senthes,Nymphalidae,0.025,7
421,Hipparchia_maderensis,Nymphalidae,0.022,3
422,Hipparchia_semele,Nymphalidae,0.036,3.5
423,Hipparchia_blachieri,Nymphalidae,0.042,4.5
424,Hipparchia_aristaeus,Nymphalidae,0.041,4.5
425,Hipparchia_algirica,Nymphalidae,0.043,3
426,Hipparchia_volgensis,Nymphalidae,0.031,4
427,Hipparchia_neapolitana,Nymphalidae,0.048,3
428,Hipparchia_leighebi,Nymphalidae,0.047,4
429,Hipparchia_pellucida,Nymphalidae,0.022,4
430,Hipparchia_sbordonii,Nymphalidae,0.054,2
431,Hipparchia_cypriensis,Nymphalidae,0.063,9
432,Hipparchia_cretica,Nymphalidae,0.059,5.5
433,Hipparchia_christenseni,Nymphalidae,0.050,2
434,Berberia_abdelkader,Nymphalidae,0.100,6
435,Berberia_lambessanus,Nymphalidae,0.076,8
436,Minois_dryas,Nymphalidae,0.066,3
437,Brintesia_circe,Nymphalidae,0.109,4.5
438,Arethusana_arethusa,Nymphalidae,0.014,4
439,Oeneis_tarpeia,Nymphalidae,0.025514531,2.5
440,Oeneis_bore,Nymphalidae,0.010,1.5
441,Oeneis_ammon,Nymphalidae,0.012760491,2
442,Oeneis_melissa,Nymphalidae,0.022962967,1.5
443,Oeneis_jutta,Nymphalidae,0.058,2.5
444,Oeneis_magna,Nymphalidae,0.047955108,2.5
445,Oeneis_norna,Nymphalidae,0.041,2
446,Oeneis_polixenes,Nymphalidae,0.016271562,2
447,Oeneis_glacialis,Nymphalidae,0.052,3
448,Satyrus_ferula,Nymphalidae,0.051,4
449,Satyrus_actaea,Nymphalidae,0.046,3
450,Satyrus_virbius,Nymphalidae,0.058869819,2.5
451,Chazara_briseis,Nymphalidae,0.053,4
452,Chazara_prieuri,Nymphalidae,0.067,2
453,Chazara_persephone,Nymphalidae,0.053,4
454,Pseudochazara_geyeri,Nymphalidae,0.028,2
455,Pseudochazara_graeca,Nymphalidae,0.044,3
456,Pseudochazara_atlantis,Nymphalidae,0.042,3
457,Pseudochazara_amymone,Nymphalidae,0.040,2.5
458,Pseudochazara_anthelea,Nymphalidae,0.032,4
459,Pseudochazara_amalthea,Nymphalidae,0.037303642,5
460,Pseudochazara_mamurra,Nymphalidae,0.052,1
461,Pseudochazara_williamsi,Nymphalidae,0.039,3
462,Pseudochazara_euxina,Nymphalidae,0.066,3
463,Pseudochazara_mercurius,Nymphalidae,0.029,2
464,Pseudochazara_cingovskii,Nymphalidae,0.049,2
465,Pseudochazara_orestes,Nymphalidae,0.058,3
466,Pseudochazara_tisiphone,Nymphalidae,0.038584347,4
467,Pseudochazara_mniszechii,Nymphalidae,0.054,2
468,Ypthima_asterope,Nymphalidae,-0.031,7.5
469,Proterebia_phegea,Nymphalidae,0.025,2.5
470,Hyponephele_maroccana,Nymphalidae,-0.006,3
471,Hyponephele_huebneri,Nymphalidae,-0.006126739,2
472,Hyponephele_lycaon,Nymphalidae,0.000,3.5
473,Hyponephele_lupina,Nymphalidae,0.018,4.5
474,Aphantopus_hyperantus,Nymphalidae,0.004,3
475,Pyronia_cecilia,Nymphalidae,-0.024,3.5
476,Pyronia_tithonus,Nymphalidae,-0.007,3.5
477,Pyronia_bathseba,Nymphalidae,-0.002,4.5
478,Pyronia_janiroides,Nymphalidae,0.014,3
479,Maniola_jurtina,Nymphalidae,0.022,5
480,Maniola_nurag,Nymphalidae,-0.007,3.5
481,Maniola_chia,Nymphalidae,0.023,5
482,Maniola_megala,Nymphalidae,0.026,3.5
483,Maniola_cypricola,Nymphalidae,0.000,4
484,Maniola_telmessia,Nymphalidae,0.007,7.5
485,Maniola_halicarnassus,Nymphalidae,0.024,3
486,Erebia_edda,Nymphalidae,0.028742557,2.5
487,Erebia_fasciata,Nymphalidae,0.028025078,2
488,Erebia_discoidalis,Nymphalidae,0.022959289,2.5
489,Erebia_rossii,Nymphalidae,0.02817459,1.5
490,Erebia_cyclopius,Nymphalidae,0.042746943,2.5
491,Erebia_embla,Nymphalidae,0.025,2
492,Erebia_disa,Nymphalidae,0.026,2
493,Erebia_jeniseiensis,Nymphalidae,0.002934423,1
494,Erebia_dabanensis,Nymphalidae,0.002063073,2.5
495,Erebia_meolans,Nymphalidae,0.013,3.5
496,Erebia_claudina,Nymphalidae,-0.017,3
497,Erebia_manto,Nymphalidae,0.000,3
498,Erebia_ottomana,Nymphalidae,-0.006,3.5
